African Development Fund,0.22489557017770992
Department for International Development,0.09463466479386136
Deutsche Gesellschaft Technische Zusammenarbeit,0.13259680960227696
Embassy of Belgium,0.057063574334963243
Embassy of Canada,0.06356029974498643
Embassy of Germany,0.16836734693877548
Embassy of Japan,0.20657072007998026
Embassy of Netherlands,0.09346515992403069
Embassy of Sweden,0.23872553098410013
European Commission,0.0527656833396651
European Investment Bank,
Global Environmental Facility,
KfW Bankengruppe,0.13800040321904083
Korea International Cooperation Agency,0.21301775147928995
Ministry of Finance,0.16754710733652178
Poland Ministry of Foreign Affairs,
UNDP,0.18570973804636687
USAID,0.047872465428406306
World Bank,
