participating_org	donors	donors_iso3	donor_country
Ministère des Affaires Entragères Thailandaise (1)	Thailand Ministry of Foreign Affairs	THAI	Thailand
Ministère des Affaires Etrangères Allemande (1)	German Ministry of Foreign Affairs	DEU	Germany
Ministère des Affaires Etrangères d'Australie (4)	Australian Ministry of Foreign Affairs	AUS	Australia
Ministère des Affaires Etrangères d'Irlande (8)	Ireland Ministry of Foreign Affairs	IRL	Ireland
Ministère des Affaires Etrangères de Danmark (13)	Denmark Ministry of Foreign Affairs	DNK	Denmark
Ministère des Affaires Etrangères de Finlande (10)	Finland Ministry of Foreign Affairs	FIN	Finland
Ministère des Affaires Etrangères de la Grèce (4)	Greece Ministry of Foreign Affairs	GRC	Greece
Ministère des Affaires Etrangères de la Norvège (20)	Norway Ministry of Foreign Affairs	NOR	Norway
Ministère des Affaires Etrangères de la République Tchèque (3)	Czech Republic Ministry of Foreign Affairs	CZE	Czech Republic
Ministère des Affaires Etrangères de Pologne (2)	Poland Ministry of Foreign Affairs	POL	Poland
Ministère des Affaires Etrangères Luxembourg (2)	Luxembourg Ministry of Foreign Affairs	LUX	Luxembourg
Ministère des Finances (1478)	Ministry of Finance	COD	Congo, the Democratic Republic of the
Mission  des Nations Unies pour la Stabilisation et Consolidation de la paix (1)	MONUSCO	DAC	
Municipalité métropolitaine d'Istanbul (1)	Istanbul Metropolitan Municipality	TUR	Turkey
Office d'aide humanitaire de la Commission européenne (80)	European Commission	DAC	
ONUSIDA/Programme des Nations Unies sur le VIH/SIDA (23)	UNAIDS	DAC	
Organisation des Nations Unies pour l'alimentation et l'agriculture (162)	UNFAO	DAC	
Organisation des Nations Unies pour la science et l'éducation (78)	UNESCO	DAC	
Organisation internationale du travail (45)	International Labor Organization	DAC	
Organisation mondiale de la santé (42)	World Health Organization	DAC	
PNUD EEC DRC Elections 36204 (1)	UNDP	DAC	
PNUD PAF - UNAIDS Fund 11940 (1)	UNAIDS	DAC	
PNUD TRAC1.1.1 (1)	UNDP	DAC	
PNUD Trac1.1.2 (1)	UNDP	DAC	
Pooled Fund Humanitaire (142)	UNOCHA	DAC	
Programme alimentaire mondial (22)	World Food Programme	DAC	
Programme des Nations Unies pour le Développement (384)	UNDP	DAC	
Programme des Nations Unies pour les établissements humains (3)	UNHABITAT	DAC	
S.G. Finances (2)	S.G. Finances	DAC	
The Global Alliance for Vaccination and Immunisation(GAVI) (29)	GAVI	DAC	
Trust Found (Banque Mondiale) (3)	World Bank	DAC	
UNICEF Autres Ressources (29)	UNICEF	DAC	
UNICEF Fonds d'urgence (19)	UNICEF	DAC	
UNICEF Fonds des Nations Unies pour l'Enfance (52)	UNICEF	DAC	
