,gpw_v4_count.2000.mean,gpw_v4_count.2005.mean,gpw_v4_count.2010.mean,gpw_v4_density.2000.mean,gpw_v4_density.2005.mean,gpw_v4_density.2010.mean,v4composites_calibrated_201709.1998.mean,v4composites_calibrated_201709.1999.mean,v4composites_calibrated_201709.2000.mean,v4composites_calibrated_201709.2001.mean,v4composites_calibrated_201709.2002.mean,v4composites_calibrated_201709.2003.mean,v4composites_calibrated_201709.2004.mean,v4composites_calibrated_201709.2005.mean,v4composites_calibrated_201709.2006.mean,v4composites_calibrated_201709.2007.mean,v4composites_calibrated_201709.2008.mean,v4composites_calibrated_201709.2009.mean,v4composites_calibrated_201709.2010.mean,accessibility_map.na.mean,gdp_grid.na.mean,diamond_distance_201708.na.sum,onshore_petroleum_v12.na.sum,GID_0,NAME_0,GID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,gpw_v4_count.2001.mean,gpw_v4_count.2002.mean,gpw_v4_count.2003.mean,gpw_v4_count.2004.mean,gpw_v4_density.2001.mean,gpw_v4_density.2002.mean,gpw_v4_density.2003.mean,gpw_v4_density.2004.mean,gpw_v4_count.1998.mean,gpw_v4_density.1998.mean,gpw_v4_count.2011.mean,gpw_v4_count.2012.mean,gpw_v4_count.2013.mean,gpw_v4_count.2014.mean,gpw_v4_density.2011.mean,gpw_v4_density.2012.mean,gpw_v4_density.2013.mean,gpw_v4_density.2014.mean,gpw_v4_count.2006.mean,gpw_v4_count.2007.mean,gpw_v4_count.2008.mean,gpw_v4_count.2009.mean,gpw_v4_density.2006.mean,gpw_v4_density.2007.mean,gpw_v4_density.2008.mean,gpw_v4_density.2009.mean
0,244.082634255,277.198256003,317.666940939,284.10179638,322.646063479,369.748772417,0.09928061946030001,0.0,0.07434018136810001,0.05646782351980001,0.0,0.0,0.0,0.046365243513599996,0.530425948364,0.0815533072938,0.062460495201000006,0.020675479198599998,0.0895413997626,212.81002835400002,0.18992684925,317161083.581,,BDI,Burundi,BDI.1_1,Bubanza,,,Province,Province,003BDI001,BI.BB,250.7057586046,257.32888295419997,263.9520073038,270.5751316534,284.10179638,284.10179638,284.10179638,284.10179638,244.082634255,284.10179638,317.666940939,317.666940939,317.666940939,317.666940939,369.748772417,369.748772417,369.748772417,369.748772417,285.2919929902,293.3857299774,301.4794669646,309.5732039518,332.0666052666,341.4871470542,350.9076888418,360.3282306294
1,2128.37137484,2833.52862718,3794.80469753,2593.10602442,3452.39131349,4623.80387249,14.632858065299999,15.092309755899999,14.6253488093,12.788531708299999,12.121535460899999,13.7239730076,13.186584971099998,13.624252979100001,15.797660688699999,15.0921618746,14.179210769400001,15.951550606700001,13.6706087426,16.3421636897,4.15002779587,61199364.4488,0.0,BDI,Burundi,BDI.2_1,Bujumbura Mairie,,,Province,Province,003BDI017,BI.BM,2269.402825308,2410.434275776,2551.465726244,2692.497176712,2593.10602442,2593.10602442,2593.10602442,2593.10602442,2128.37137484,2593.10602442,3794.80469753,3794.80469753,3794.80469753,3794.80469753,4623.80387249,4623.80387249,4623.80387249,4623.80387249,3025.78384125,3218.03905532,3410.29426939,3602.54948346,3686.67382529,3920.95633709,4155.23884889,4389.52136069
2,338.065649122,404.808148142,487.81611643599996,405.294256884,485.891150099,586.301318834,0.39051094830300004,0.254464710355,0.524083873018,0.413458006383,0.638563545442,0.36718537651199995,0.357056782225,0.24947801585700002,0.573942947262,0.499284621368,0.526085499872,0.514253555835,0.7183764899959999,99.8422320666,0.20009675127700002,462984456.16,,BDI,Burundi,BDI.3_1,Bujumbura Rural,Usumbura,,Province,Province,003BDI002,BI.BU,351.414148926,364.76264873,378.111148534,391.459648338,405.294256884,405.294256884,405.294256884,405.294256884,338.065649122,405.294256884,487.81611643599996,487.81611643599996,487.81611643599996,487.81611643599996,586.301318834,586.301318834,586.301318834,586.301318834,421.40974180079996,438.0113354596,454.61292911839996,471.21452277719993,505.973183846,526.055217593,546.13725134,566.219285087
3,161.940228618,195.69602871700002,239.49258821400002,192.682330988,233.568501858,286.800498817,0.016214096902900002,0.018412829310400003,0.0327031933257,0.0327033065356,0.020885718136,0.0307793825589,0.0318785605702,0.0145654465972,0.025832924911199998,0.026932027876,0.0263822948905,0.016488863663099998,0.054138332200800006,185.727777918,0.027542043431599997,871219800.837,,BDI,Burundi,BDI.4_1,Bururi,,,Province,Province,003BDI003,BI.BR,168.6913886378,175.4425486576,182.19370867740002,188.9448686972,192.682330988,192.682330988,192.682330988,192.682330988,161.940228618,192.682330988,239.49258821400002,239.49258821400002,239.49258821400002,239.49258821400002,286.800498817,286.800498817,286.800498817,286.800498817,204.4553406164,213.21465251580003,221.97396441520002,230.7332763146,244.2149012498,254.8613006416,265.5077000334,276.1540994252
4,82.1946451294,100.054357612,122.863138085,95.6615158511,116.447277753,142.992947763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0171975087131,0.0,0.0646401402938,180.581723488,0.015321552640599999,368511915.929,,BDI,Burundi,BDI.5_1,Cankuzo,,,Province,Province,003BDI004,BI.CA,85.76658762592,89.33853012244,92.91047261896,96.48241511548001,95.6615158511,95.6615158511,95.6615158511,95.6615158511,82.1946451294,95.6615158511,122.863138085,122.863138085,122.863138085,122.863138085,142.992947763,142.992947763,142.992947763,142.992947763,104.6161137066,109.1778698012,113.7396258958,118.3013819904,121.75641175499999,127.065545757,132.374679759,137.68381376099998
5,217.681898292,250.15262713299998,290.02129615900003,253.434702337,291.248281116,337.678812141,0.015936881929,0.0129949089878,0.0,0.0315695336428,0.0,0.0,0.0,0.0401693077167,0.16460786644,0.0,0.0,0.0,0.09504939404160001,247.575907547,0.0799708594544,502643668.54300004,0.0,BDI,Burundi,BDI.6_1,Cibitoke,,,Province,Province,003BDI005,BI.CI,224.17604406019998,230.6701898284,237.16433559659998,243.6584813648,253.434702337,253.434702337,253.434702337,253.434702337,217.681898292,253.434702337,290.02129615900003,290.02129615900003,290.02129615900003,290.02129615900003,337.678812141,337.678812141,337.678812141,337.678812141,258.1263609382,266.1000947434,274.07382854860003,282.0475623538,300.534387321,309.820493526,319.10659973099996,328.39270593599997
6,290.906567252,328.179700305,373.420342636,338.665493769,382.05740639199996,434.72474633900003,0.20440112221099999,0.223714621304,0.19829312063700003,0.186525516049,0.205007924606,0.171065032849,0.164612352062,0.11523040719000001,0.201541232736,0.210327511291,0.17306513578,0.20509797030699997,0.26072827514400004,86.4145626108,0.101915069539,475179113.635,,BDI,Burundi,BDI.7_1,Gitega,Kitega,,Province,Province,003BDI006,BI.GI,298.3611938626,305.8158204732,313.2704470838,320.7250736944,338.665493769,338.665493769,338.665493769,338.665493769,290.906567252,338.665493769,373.420342636,373.420342636,373.420342636,373.420342636,434.72474633900003,434.72474633900003,434.72474633900003,434.72474633900003,337.2278287712,346.2759572374,355.32408570359996,364.3722141698,392.5908743814,403.1243423708,413.6578103602,424.1912783496
7,240.10027063599998,268.230654943,303.495637188,279.419707077,312.158175121,353.200041988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039560429559100004,122.745325036,0.040427534844199996,335234566.527,,BDI,Burundi,BDI.8_1,Karuzi,Karusi,,Province,Province,003BDI007,BI.KR,245.72634749739998,251.3524243588,256.9785012202,262.6045780816,279.419707077,279.419707077,279.419707077,279.419707077,240.10027063599998,279.419707077,303.495637188,303.495637188,303.495637188,303.495637188,353.200041988,353.200041988,353.200041988,353.200041988,275.28365139199997,282.336647841,289.38964429,296.442640739,320.3665484944,328.5749218678,336.7832952412,344.99166861460003
8,346.572448796,411.723944071,499.354845501,403.466305219,479.30797446400004,581.315929334,0.046354437080600004,0.0260769550826,0.040812469269099996,0.059214093282900004,0.036516282060500005,0.0,0.0214802481709,0.0,0.0,0.0293565399119,0.0300722388997,0.0386642454462,0.078760792467,168.481094197,0.0638372536726,331215798.84400004,,BDI,Burundi,BDI.9_1,Kayanza,,,Province,Province,003BDI008,BI.KY,359.602747851,372.633046906,385.663345961,398.693645016,403.466305219,403.466305219,403.466305219,403.466305219,346.572448796,403.466305219,499.354845501,499.354845501,499.354845501,499.354845501,581.315929334,581.315929334,581.315929334,581.315929334,429.250124357,446.776304643,464.302484929,481.828665215,499.709565438,520.111156412,540.512747386,560.91433836
9,262.329138776,309.005626566,367.815993239,320.814051648,378.60088209400004,451.474612325,0.0,0.0,0.0,0.0,0.0,0.0,0.011892307874900001,0.0,0.0,0.0,0.0,0.0,0.0517867121479,223.58691490599998,0.0425876176525,446397440.29300004,,BDI,Burundi,BDI.10_1,Kirundo,,,Province,Province,003BDI009,BI.KI,271.66443633399996,280.999733892,290.33503145,299.670329008,320.814051648,320.814051648,320.814051648,320.814051648,262.329138776,320.814051648,367.815993239,367.815993239,367.815993239,367.815993239,451.474612325,451.474612325,451.474612325,451.474612325,320.7676999006,332.5297732352,344.2918465698,356.0539199044,393.17562814020005,407.75037418640005,422.32512023260006,436.8998662788
10,165.04553974700002,190.664211435,223.546857109,194.8445636,225.48941117099997,264.87390246900003,0.0,0.0,0.00190495819311,0.0,0.0,0.0,0.0,0.0,0.0,0.00828149736088,0.00993771327134,0.0271632054881,0.07213425935750001,228.467030265,0.0222461308848,688781073.848,,BDI,Burundi,BDI.11_1,Makamba,,,Province,Province,003BDI010,BI.MA,170.1692740846,175.29300842220002,180.4167427598,185.54047709740001,194.8445636,194.8445636,194.8445636,194.8445636,165.04553974700002,194.8445636,223.546857109,223.546857109,223.546857109,223.546857109,264.87390246900003,264.87390246900003,264.87390246900003,264.87390246900003,197.2407405698,203.8172697046,210.3937988394,216.9703279742,233.36630943059998,241.2432076902,249.1201059498,256.9970042094
11,333.695415623,377.556931459,430.26604394199995,388.400239226,439.45255521900003,500.80298384300005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.543697376,0.043525334528900006,184244085.21400002,,BDI,Burundi,BDI.12_1,Muramvya,Muramviya,,Province,Province,003BDI011,BI.MV,342.46771879019997,351.24002195739996,360.0123251246,368.7846282918,388.400239226,388.400239226,388.400239226,388.400239226,333.695415623,388.400239226,430.26604394199995,430.26604394199995,430.26604394199995,430.26604394199995,500.80298384300005,500.80298384300005,500.80298384300005,500.80298384300005,388.0987539556,398.6405764522,409.18239894879997,419.72422144539996,451.72264094380006,463.9927266686,476.26281239340005,488.5328981182
12,239.67977053099997,287.11695469,357.213783537,279.43231481099997,334.950600997,417.042365121,0.0183885748891,0.0,0.024516050690599995,0.030176322994200002,0.0297045604404,0.018860109191299997,0.014056177805800001,0.0,0.0,0.021217630966400003,0.0282901177658,0.0490362857225,0.0796837695324,156.094024227,0.0425436550575,409583971.265,,BDI,Burundi,BDI.13_1,Muyinga,Muhinga,,Province,Province,003BDI012,BI.MY,249.16720736279999,258.6546441946,268.1420810264,277.6295178582,279.43231481099997,279.43231481099997,279.43231481099997,279.43231481099997,239.67977053099997,279.43231481099997,357.213783537,357.213783537,357.213783537,357.213783537,417.042365121,417.042365121,417.042365121,417.042365121,301.1363204594,315.1556862288,329.1750519982,343.1944177676,351.3689538218,367.7873066466,384.2056594714,400.6240122962
13,248.558492418,285.633756897,330.360064572,289.36844273,332.531444328,384.601846346,0.0185611922823,0.018981669002,0.012305769028700002,0.00696303438294,0.00902419342165,0.008511493800520001,0.0,0.0,0.0,0.000717840014336,0.0,0.0,0.0145208105081,135.096841013,0.041611775183500004,220382554.374,,BDI,Burundi,BDI.14_1,Mwaro,,,Province,Province,003BDI013,BI.MW,255.9735453138,263.3885982096,270.8036511054,278.2187040012,289.36844273,289.36844273,289.36844273,289.36844273,248.558492418,289.36844273,330.360064572,330.360064572,330.360064572,330.360064572,384.601846346,384.601846346,384.601846346,384.601846346,294.579018432,303.524279967,312.469541502,321.414803037,342.9455247316,353.3596051352,363.7736855388,374.1877659424
