Incident ID,Year,Month,Day,Country,Region,District,City,UN,INGO,LNGO/NRCS,ICRC,IFRC,Other,Nationals killed,Nationals wounded,Nationals kidnapped,Total nationals,Internationals killed,Internationals wounded,Internationals kidnapped,Total internationals,Total killed,Total wounded,Total kidnapped,Total affected,Gender Male,Gender Female,Gender Unknown,Means of attack,Attack context,Location,Latitude,Longitude,Details
967,2010,6,22,Sudan,South Darfur,,Nyala,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,2,K,R,OC,12.05,24.883333,"2 INGO international (German) staff kidnapped along with a national staff driver (not counted) who was released shortly after. Germans Released 5 weeks later, in late July. The victims were kidnapped from their Nyala office by seven armed men in civilian clothes."
1056,2010,6,29,Sudan,South Darfur,,Mershing - Tom kiter IDP camp,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,S,R,PS,11.329444,25.08565623,1 guard for an INGO was shot in the hand and shoulder while guarding a child-friendly space in an IDP camp. The perpetrator had tried to steal chairs.
1276,2010,6,29,DR Congo,North Kivu,,Kalunguta/Beni,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,S,IA,H,0.49113,29.47306,One LNGO staff shot dead in his house at 11 p.m. on 29 June.
1059,2010,7,11,Uganda,,Kampala,Kampala,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,B,U,P,0.3177137,32.5813539,"1 international (American) who was working with an INGO was killed when a bomb exploded on a rugby field in Kampala, during the bombings that took place during the World Cup."
1050,2010,8,2,Sudan,South Darfur,,Nyala,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,S,Am,R,12.05,24.883333,1 UN agency national staff (driver) shot at in the right hand during an ambush of two vehicles carrying INGO and UN agency staff.
1048,2010,9,23,DR Congo,North Kivu,,Kisheshe/ Nyanzale,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,S,Am,R,-0.66667,28.75,1 national staff (driver) wounded when the INGO vehicle he was driving was shot at on the road.
1072,2010,9,24,Uganda,Karamoja,,Nabilatuk,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,U,Am,U,2.020556,34.584167,A contracted truck was attacked by armed warriors and the driver's assistant injured.
1035,2010,10,15,Sudan,Eastern Equatoria,Kapoeta South ,Kapoeta,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,LM,C,PS,4.9,33.8,An international technical expert for a demining INGO was killed during an explosion while working at a mine clearance site. An investigation is underway as to the exact cause of the incident.
1044,2010,10,15,DR Congo,Kinshasa,,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,BA,IA,U,-4.3217055,15.3125974,"An INGO local employee, accompanied by his siblings, was attacked by a group armed with knives, and robbed. The employee was hit with a machete on his hand and his fingers suffered major injuries."
1065,2010,10,18,Sudan,West Darfur,,Sisi,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,U,Am,R,13.1909231,22.7402454,A contracted truck was attacked on the road and the driver's assistant killed.
1277,2010,10,21,DR Congo,North Kivu,,Beni,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,S,U,U,0.4938268,29.46518612,The president of a LNGO was shot and killed at 9 p.m. on 21 October
1018,2010,11,4,Sudan,South Darfur,,Nyala,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,0,3,K,Am,R,12.05,24.883333,3 Latvians working for an air service company contracted by a UN agency were abducted by a group of armed men as they were travelling in a mini-bus to their residence in Nyala. They were released on 8 Dec.
