"transaction_id","project_id","transaction_isodate","transaction_year","transaction_value_code","transaction_currency","transaction_value"
"mZgFkaX3wLnxh2X7h45wZM","112009897804","","2008","C","USD","9466384.09033"
"NyfxKYfAdqv9iWQSCvDfU5","112009897812","","2009","C","USD","617856.35"
"cHTW7iyths9FhkbrUMiMkR","112009897814","","2009","C","USD","620956.06937"
"LUjwjTzfztxbnfQkvXWRaj","112009897817","","2008","C","USD","1043985.80501"
"aAHjaBj8EQnTsbBSDytEUi","112009897817","","2009","C","USD","6758872.36453"
"8jvesxcXZ2K3EJxLhMnXNd","112009897820","","2008","C","USD","4145667.63169"
"yv8cszVMGSMJwhqS8Wsnxb","112009897820","","2009","C","USD","4172217.09627"
"v9bUKJ8dEfWbGJ2K7P2Aed","112009897821","","2009","C","USD","5462141.24888"
"vHyy76Ssg8YmLUZRwy6aGR","112009899210","","2009","C","USD","369068.423071"
"XVXTEWZ632cyVGMvZdL7aR","112009899210","","2010","C","USD","388100.681937"
"cr8m4vGkQicxEvbwbcMV5R","112009899212","","2009","C","USD","682776.582681"
"ThyMNQwCb35juKMzp52CBY","112009899212","","2010","C","USD","717986.261583"
"LoEHVmfomBn5WvxweMkmui","1120098710837","","1999","C","USD","1475026.13668"
"sqqqZrJ73nB23A5BUwAKXX","1120098710837","","2000","C","USD","102214.263763"
"6UMSmNQPyrVzYbSWTLwYqd","1120098710837","","2001","C","USD","1255691.6567"
"WdhSbn88a2ioCah6rvDDQB","1120098710837","","2002","C","USD","1038958.45853"
"ujvLDkobSyRq9P2nANBfvf","1120098710916","","2008","C","USD","546601.7359"
"vaxiMWTFBBpryomTzj4ei5","1120091055437","","2001","C","USD","17797086.5255"
"BmxLdwpFdxhek4dVx8EKHY","1120091055437","","2002","C","USD","20338995.0545"
"deeFtWnUapmeafNRrAzzrS","1120091055437","","2003","C","USD","44251197.77"
"TivecGntP4agwJznodLmbd","1120091055437","","2004","C","USD","36414874.7109"
"N98SQHSQJDLvNyJWRqzQwQ","1120091055437","","2005","C","USD","32420562.6217"
"G5W4zwPTMWWPFK7gsVhfsK","1120091055436","","2000","C","USD","2555356.59407"
"heQQPZcXNsnXvxKozFiCrU","1120091055243","","2003","C","USD","492522.923992"
"Woij7FQEXWwJqQXWUnZXVh","1120091055243","","2005","C","USD","510113.747544"
"HFXNLd76wHz3ZosUgnMGgZ","1120091055243","","2006","C","USD","1317723.94156"
"QqkS9b4Hqi6NQs3srPTLjS","1120091251626","","2008","C","USD","1578134.87823"
"wGzCAT4HqJyEwSkbxysVhi","1120091251626","","2010","C","USD","1021317.58404"
"fxdaBKimdBjSDwGaJy84Wa","1120091055190","","2003","C","USD","18111356.4226"
"QMxzyt6LVKSXhGbs9yyAaB","1120091055190","","2004","C","USD","1171235.23563"
"D53DXUzuKcn4dTcMtxbnSG","1120091055190","","2005","C","USD","1721917.29449"
"gHPs7X23XfpZpqm7azRTxW","1120091055190","","2009","C","USD","1552447.09648"
"VxPky32A3JiohFeZ3Dkk7d","1120091055190","","2010","C","USD","1531976.37607"
"8VR8z3TJ5JngksU8hjs5d7","112009781153","","2002","C","USD","706983.566456"
"ZF3nk2goyVTqW4K5d8doZm","112009781153","","2003","C","USD","2312088.05395"
"fAsWVRTKBEs9UdQminB9Mk","112009781153","","2004","C","USD","2752402.80373"
"Xy6ZyVKpsBM7NJH5NZGinC","112009781153","","2005","C","USD","2493889.43244"
"5vUkmPREGzEKhF9w3kFWZ5","112009781153","","2006","C","USD","1896424.37256"
"bKh64yGXig4tkKFBmXvyCC","112009781153","","2008","C","USD","10943655.324"
"cf2ZQ7WY8eJJiQJibpn7CJ","1120091251610","","2008","C","USD","4514908.70715"
"mmhMgxTtrTHxRPMmJ5nKqY","1120091251610","","2009","C","USD","1230761.42873"
"hbnif6LozUWyXZHF6awM3c","1120091251610","","2010","C","USD","1793293.75707"
"KjJqdDHFEVeMRnwne9De2a","112009881696","","2008","C","USD","2087670.94211"
"7dkBcnmpv79YogD7mP8qcJ","1120098711347","","2001","C","USD","367336.663752"
"TxJYuZt5aYJ3wqGwZGF8zJ","1120098711347","","2002","C","USD","248366.400738"
"4GDKjK44RfCSp4igh3yDaZ","1120098710917","","2008","C","USD","718262.233846"
"Jvun8QYcarBMSjbzt55aVE","112009879911","","2001","C","USD","249888.886906"
"WVgnsFkVX8bsnd4SF8kSS5","112009879911","","2003","C","USD","361263.758429"
"uongFNvnVwYbpRugWLVCWV","112009879911","","2004","C","USD","641836.909124"
"8qktFvEtwVtVRNEVgAVpHD","112009879911","","2005","C","USD","226717.221131"
"y4bL4tFxdDxWu5fAJAaZRh","112009761030","","2007","C","USD","2134280.43023"
"8qH3FtiDSdR6yFpdNR9DrS","112009761030","","2008","C","USD","1363445.46134"
"y3QEgarD9EuxwyTVMpcayA","112009897806","","2009","C","USD","8500936.38434"
"D5mwSeXYYeNu2seHj4yMZH","112009897810","","2008","C","USD","417361.513169"
"KxVi56oyNZ4JQFY4qYXhkA","112009897819","","1999","C","USD","5221331.45727"
"hNgi256iKD8mtX2UGkN8AF","112009897819","","2004","C","USD","2459593.99482"
"4C3WbpEvXTz8M4q6hnmQQU","112009897819","","2009","C","USD","8308340.83252"
"Mz5GaEqQnvg8EUQqKiotRo","112009897819","","2010","C","USD","6860190.21203"
"Q2riW5rfSG7r3Kfh3ew3th","1120098711216","","2000","C","USD","574955.233666"
"JN4mewwdhXDadMeSeUFUEP","1120098711216","","2001","C","USD","752165.549588"
"iTVNvWwAwG7piPn6TXzxTH","1120098711216","","2002","C","USD","382385.894205"
"CctH2HwDqgSUk2pYYUHKq3","1120098711216","","2003","C","USD","1345105.39388"
"FwnyhdKDqvwGuqcXAfQz2c","1120098711216","","2004","C","USD","1301242.34678"
"vEaMJ52d6gQtdE5o3MMcDE","1120098711216","","2005","C","USD","2368061.37471"
"oU5XeJrxhW88x4BU7SK8MY","1120098711216","","2006","C","USD","2661802.36194"
"cdFwuDirTFtdKhQrvRmQEP","112009897808","","2008","C","USD","789660.42305"
"PRGMf5DtBkjGx8n2qcPNsm","1120098715286","","2012","C","USD","851494.144731"
"jTp4ewFXinnzZvigdjPUfe","112009781160","","2008","C","USD","5219929.02504"
"gUgMCgAMDfjUh7L2KQj62Y","112009781160","","2010","C","USD","1531976.37607"
"GBjvrFiDjkgGkXqRApTi8L","112009781158","","2008","C","USD","3967146.05903"
"e3qw8LmH8LeSn5fDiRsukb","112009781158","","2009","C","USD","413985.892396"
"jmZUxVpRmHdgAwMGqZj65A","112009781157","","2008","C","USD","3611692.9041"
"we5RnjfsdcRdiDFHh4zwid","1120091251662","","2008","C","USD","1556511.84423"
"66pBXqARAQT7eV8pUn3e2N","112009897823","","2008","C","USD","1160287.91166"
"avJUbdKvLYQ96SHjZWvdkb","1120091251633","","2008","C","USD","626391.483005"
"FS7HbD4WbMMKRwueps3FCG","112009781141","","2008","C","USD","3131957.41503"
"no7BZzz878z8Jsnoe5hRUW","112009781151","","2008","C","USD","313195.741503"
"B6DQsWRL8wk6Yj4oBxA8PT","112009781161","","2008","C","USD","626.391483005"
"7iD3qw5pKnQjsNAKTLUKm3","1120091251665","","2008","C","USD","7445583.571"
"NTH3NMQsbpywiiynzhSWuB","1120091251665","","2009","C","USD","548057.293578"
"aRkASKyLrS6hL78EcG27g5","1120091055472","","2004","C","USD","1171235.23563"
"EqfJKZvhwUy5JTM4J5x2qL","1120091055472","","2005","C","USD","474972.578269"
"jMJkvuxvvDx5rPoMVfdooS","1120091055472","","2006","C","USD","1647154.92695"
"4QLm7ZSBmB9b5GvqkTYn6C","1120091251638","","2008","C","USD","6214747.27458"
"XbktK6aePNKayhZ3oYXGRF","1120091251629","","2008","C","USD","782978.913898"
"bS9gmcDw3ha5at7PTxYQPH","1120091251651","","2008","C","USD","789660.42305"
"Cx7NXDwmuZfLCso57j6CBR","1120091055188","","2004","C","USD","2108223.42413"
"85ZWSb3GAXTPSaGGnoHPqL","1120091055268","","2001","C","USD","2236505.53781"
"9bufdqCT5aWNhTE5MR5QYe","1120098715285","","2012","C","USD","196368.743308"
"geudkp3n83bM6RH3LwprjZ","1120091055419","","2001","C","USD","2220262.76016"
"5wXVyXMn6EZuXmArrcGVxa","1120091055319","","2002","C","USD","1229536.63731"
"uRGNTdibDNNggvaTfbCiZ","1120091055319","","2004","C","USD","1276646.40683"
"sgeHVswTpexnoT7uR7KUCZ","1120091055319","","2005","C","USD","453434.442261"
"pGcoZqphFeKeapFjewvNA","1120098715158","","2012","C","USD","1987251.68227"
"5YfbCqF7DCVtd36poDDX9i","1120098714926","","2011","C","USD","1475000.0"
"ZaJrT3TY9ijTW7SJTaDEN9","1120098714926","","2012","C","USD","2454609.29135"
"Mz9h8LizBGDRbvVDXFPif5","1120098715473","","2012","C","USD","1542476.47868"
"UGXxLAZnMNyxSEQj5Zv5GN","1120098715100","","2012","C","USD","910169.125231"
"iMyjKZu7hyVZDkwQivKZxS","1120098715099","","2012","C","USD","981843.716538"
"Ao4r2q74LDgLjnkZNyqPDH","1120091254256","","2010","C","USD","1276646.98006"
"i2V8ByBSWV95tJex97FKgY","1120091254268","","2010","C","USD","204263.516809"
"kBtKdHyZaMRrn2BFGovH8n","1120091254270","","2010","C","USD","20492737.3238"
"3Dzu5TGxVnLzkmuP74UiVo","1120091254271","","2010","C","USD","9191858.2564"
"RxX8VqNMByzPyW3Cnn3JzF","1120091254274","","2010","C","USD","7149223.08831"
"PqKNNX9xew2TjFEM4bQTkj","1120091254273","","2010","C","USD","9702517.04842"
"F6FGUs8V3NVTfXoJRiLbS6","1120091254275","","2003","C","USD","617761.026914"
"Gw6eUnMeRizBasad48ix4a","1120091254275","","2010","C","USD","643430.077948"
"Wvjh4aKKTHYtEAVG9TNQKn","1120091254361","","2010","C","USD","8609707.23349"
"yCHtagYXeRdC8Jp9B57Q86","1120098711812","","2004","C","USD","36414874.7109"
"DJnmovRe5nLuKkLhTogpAH","1120098711812","","2005","C","USD","32420562.6217"
"NMAkd9yJwypRY6vzGvttsg","1120091055443","","2001","C","USD","1697994.98653"
"hquicMnhB6dsn7iV7fJAmH","1120091055443","","2002","C","USD","245907.327463"
"VVo5jmxrqV3vqa7NQRvdnU","1120091055173","","2003","C","USD","3612637.58429"
"Cx3UFVixb8zsqsFHzsLDu","1120091055184","","2003","C","USD","294012.803428"
"mJ5tUMksLvXvzYaCr65ggc","1120091055184","","2004","C","USD","468494.094251"
"GikevJajQj8JXuEQdiTFvQ","1120091055184","","2005","C","USD","510113.747544"
"2E5a2T9vbrHbd22UpyV4oi","1120091055184","","2006","C","USD","329430.985389"
"AzXG8EJ5JoJcayZzFNSdsB","1120091055232","","2002","C","USD","409435.700226"
"QTD8A6oc3gDJFQxbfQqn68","1120091055232","","2003","C","USD","401002.771856"
"MVYAWTLZhQwVVBfwQKdUN","1120091055227","","2004","C","USD","386507.627757"
"vVPJmQjmBAyBozX239DMmH","1120091055236","","2001","C","USD","1010800.54754"
"sAP23mBREKtwjqstENmGhc","1120091055236","","2002","C","USD","4190260.85997"
"dTieUzHnpxGC6GHgJYtUC8","1120091055236","","2003","C","USD","3051474.5462"
"9eUdYoZGXTX8tgAXXNt76B","1120091055236","","2004","C","USD","1047084.30065"
"Tx3E9H7hiQwmXyycLLWqr3","1120091055236","","2005","C","USD","2040454.99018"
"yofcmWJv9nLFcnNujxNN99","1120091055233","","1999","C","USD","6000615.17727"
"iRgRdtutJp8tYwQCWKZJeG","1120091055233","","2000","C","USD","6388391.48518"
"M58p5o5LzdKeBnz3tW4tU","1120091055242","","2003","C","USD","1204212.5281"
"aeuvA5JPhuYdqqJyLaZ3Hc","1120091055238","","2000","C","USD","766606.978221"
"4zAXNkQmCPhf7ApqPZWMi7","1120091055238","","2001","C","USD","4249360.52184"
"fCBMtTxpn2A75RGWdNWmTS","1120091055238","","2002","C","USD","1487739.33115"
"tr83HdhrhYjx7Hhykyn8pM","1120091055238","","2003","C","USD","3686094.54851"
"txShHwsqe4nSFNLZrSrVt8","1120091055238","","2004","C","USD","3513705.70688"
"sLkfEzHoKZ6VC3jzsL6Lzh","1120091055238","","2005","C","USD","2782953.88938"
"ZTcfhv2B74jFdxQTcTmDUa","1120091055252","","2000","C","USD","574955.233666"
"9DpidMdUW4X774eJC4yFZb","1120091055252","","2001","C","USD","383579.441401"
"F6X8ySbxndEEF4mMyHvPV9","1120091055252","","2002","C","USD","252055.01065"
"CRfjzLraGtxGcuF4Fw3wXE","1120091055252","","2003","C","USD","361263.758429"
"YfipEvvskqqEhy48QZhYa9","1120091055263","","1999","C","USD","6636312.2822"
"Q6xuVJJvW9CRxKbZ7qSL49","1120091055267","","1999","C","USD","3803739.96662"
"RYhMdwk6xvz6Us6zQqQz6e","1120091055267","","2000","C","USD","1916517.44555"
"aUMXK4ACBGMzn8DSNGTkLG","1120091055267","","2001","C","USD","3604647.19363"
"EFaiac4co8qaKTGYbizFqV","1120091055267","","2002","C","USD","2663176.35642"
"MskWUgzxGhHQaMx33oWZd","1120091055267","","2003","C","USD","2215751.0517"
"kNDusXhG9VyCBg7THcX4Wg","1120091055267","","2004","C","USD","3747952.75401"
"YZ8bGdsaKTeREPbbMbP97f","1120091055269","","2000","C","USD","677169.497429"
"bN8XnAoUdbpmJmZnqFSCS3","1120091055269","","2001","C","USD","247389.998037"
"f8LzwGNnBQq4pqvZDYfyF4","1120091055270","","2001","C","USD","427309.99661"
"RsZmut43hhRfPNMEpTLeqW","1120091055270","","2002","C","USD","828707.69355"
"XcB4otMT3KH63r4goWuV9f","1120091055270","","2003","C","USD","783942.355791"
"RAX3gkyLtoLhqp8iekN66D","1120091055270","","2004","C","USD","761302.903158"
"nH8sFEqQth4zxdxbBvMdiD","1120091055296","","2000","C","USD","958258.722777"
"WvEKXcpDrF8EcZbPE8evVN","1120091055296","","2001","C","USD","359839.997145"
"9hs4dUnduwCa4xCqY8rxxZ","1120091055276","","2002","C","USD","469682.995454"
"xqG8vpBHMVDkJ8AjeKnzXP","1120091055273","","2001","C","USD","593486.106403"
"6iavLpC2NtCY3dgKLS8r2B","1120091055273","","2002","C","USD","711901.713005"
"kpR2okcg5862QXPxpfuq4G","1120091055273","","2003","C","USD","602106.264049"
"gajQWHHgfY8AjoUxuGF5pg","1120091055273","","2004","C","USD","1024830.83117"
"778Hp3TekxydMSUCmYixWA","1120091055273","","2005","C","USD","906868.884523"
"7mJg7fVbPxN6p2zo7VbaF3","1120091055273","","2006","C","USD","219620.656926"
"yRJiPDPnhLgMYSpzFCXPES","1120091055298","","2000","C","USD","645227.540003"
"L4wMW2TZ2BtdP67yP4Hii5","1120091055302","","2001","C","USD","830880.548964"
"3jwsK2hJFKvvX8b8jddjfa","1120091055302","","2002","C","USD","534848.437232"
"kjZtecY5gUgHcroVx9vwr8","1120091055303","","2005","C","USD","18137377.6905"
"CPbMNVmqeapfmztkcgA8JB","1120091055291","","2001","C","USD","3748333.3036"
"n7o8TuGVBEStBkXnSux66","1120091055291","","2004","C","USD","819864.66494"
"DiRBsAyNF5zBjgV2fVFeaS","1120091055291","","2005","C","USD","1473661.93735"
"kFmWguH4iFQvguBAcw5XRU","1120091055291","","2006","C","USD","1427534.27002"
"8NXtYoQSPoYYPCnySteey7","1120091055304","","1999","C","USD","10457021.5761"
