"project_id","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements"
"87299241221","1","POST BEIJING PLATFORM OF ACTION","1997-01-31","start-actual","2001-12-31","end-planned","United Kingdom","GBR","Uganda","UGA","510","General budget support","Completion","1997","2001","1115467.8982","738458.877477"
"87299351222","1","NGO COMMUNITY DEVELOPMENT NETWORK","1996-01-01","start-actual","","end-planned","United Kingdom","GBR","Uganda","UGA","510","General budget support","Completion","1995","1997","291909.983797","130807.28672"
"87299241235","1","DFCU FINAL PHASE","1997-03-15","start-actual","2001-12-31","end-planned","United Kingdom","GBR","Uganda","UGA","510","General budget support","Completion","1997","2001","1499127.93752","1360293.28479"
"87299251234","1","GOVERNMENT AND CIVIL SOCIETY PROGRAMME","1999-06-01","start-actual","","end-planned","United Kingdom","GBR","Uganda","UGA","510","General budget support","Completion","1999","2001","4217553.68038","1305418.63535"
"87299221260","1","DEREGULATION PROJECT","1998-01-02","start-actual","","end-planned","United Kingdom","GBR","Uganda","UGA","510","General budget support","Completion","1998","2007","8604179.76342","8084088.52369"
"87299251283","1","TA AMNESTY","2001-01-02","start-actual","2007-12-31","end-planned","United Kingdom","GBR","Uganda","UGA","510","General budget support","Completion","2000","2007","10718985.4273","11077423.7281"
"87299251285","1","PARTNERSHIP FUND PROJECT","2001-01-02","start-actual","2007-03-31","end-planned","United Kingdom","GBR","Uganda","UGA","510","General budget support","Completion","2001","2007","1358091.77574","3219280.15424"
"87299221280","1","HUMANITARIAN INTERVENTION IN KITGUM","2000-01-03","start-actual","2002-06-30","end-planned","United Kingdom","GBR","Uganda","UGA","510","General budget support","Completion","2000","2002","277532.0527","368204.170348"
"87299221267","1","EMERGENCY ASSISTANCE FOR MAIN ROADS","2000-01-03","start-actual","2001-09-30","end-planned","United Kingdom","GBR","Uganda","UGA","510","General budget support","Completion","2000","2001","2011928.48635","1057192.48061"
"87299351232","0","LUWERO DIOCESE WATER PROJECT","1996-04-29","start-actual","","end-planned","United Kingdom","GBR","Uganda","UGA","510","General budget support","Completion","1996","1999","1111656.23997","1139892.61683"
"87299241270","1","NATIONAL WATER & SANITATION PROGRAM","2000-01-02","start-actual","2006-12-31","end-planned","United Kingdom","GBR","Uganda","UGA","510","General budget support","Completion","2000","2006","10343801.407","6286041.98836"
"8729931273","0","BUDGET SUPPORT 2011/12-2014/15","2011-10-18","start-actual","2015-10-01","end-planned","United Kingdom","GBR","Uganda","UGA","510","General budget support","Implementation","2011","2015","121855345.911","15398860.2183"
"87299241216","1","UK PROGRAMME GRANT 1997","1997-10-07","start-actual","1998-07-30","end-planned","United Kingdom","GBR","Uganda","UGA","510","General budget support","Completion","1997","1998","43177091.7592","44374041.5463"
"87299211269","1","ANTI-CORRUPTION SUPPORT","2000-01-02","start-actual","","end-planned","United Kingdom","GBR","Uganda","UGA","510","General budget support","Completion","2000","2007","2074153.07912","3571784.88191"
"8729928118","1","L.VICTORIA ENVIRONMENT MANAGEMENT PROJECT","2010-01-28","start-actual","2013-06-30","end-planned","International Development Association","DAC","Uganda","UGA","140","Water supply and sanitation","Implementation","2009","2013","29051641.571","9929100.57745"
"87299221927","0","RDP - PAKWACH-KARUMA ROAD","2002-04-11","start-actual","2006-06-30","end-planned","International Development Association","DAC","Uganda","UGA","210","Transport and storage","Completion","2001","2007","29764810.7619","910855.293887"
"87299221930","0","RDP - ARUA-PAKWACH ROAD","2000-01-02","start-actual","2008-06-30","end-planned","International Development Association","DAC","Uganda","UGA","210","Transport and storage","Completion","1999","2008","53865180.0944","61451006.8172"
"8729925897","1","SUPPORT TO IGG","1999-08-17","start-actual","2001-12-31","end-planned","Denmark/DANIDA|United Nations Development Programme|Ireland","IRL|DNK|DAC","Uganda","UGA","151","Government and civil society, general","Implementation","1995","2009","2633669.30863","2137424.89667"
"8729935360","0","GENERAL BUDGET SUPPORT 2007/08-10 PAF","2007-07-01","start-actual","2010-06-30","end-planned","Ireland","IRL","Uganda","UGA","510","General budget support","Completion","2007","2010","44096703.1034","35398403.9611"
"8729927987","0","ITALIAN SUPPORT TO THE HEALTH SECTOR","1997-04-30","start-actual","2000-12-29","end-planned","Italy","ITA","Uganda","UGA","120","Health","Completion","1997","2000","15064271.1901","12851377.825"
"87299381058","0","POVERTY ALLEVIATION AGRICULTURE MOD KARAMOJA","2004-01-02","start-actual","2004-12-31","end-planned","Italy","ITA","Uganda","UGA","510","General budget support","Implementation","2004","2004","1932240.86991","302510.936263"
"8729922981","0","REINFORCE HEALTH LUGAZI DIOCESE","2003-01-02","start-actual","2005-06-30","end-planned","Italy","ITA","Uganda","UGA","510","General budget support","Completion","2003","2005","714580.221146","800103.037937"
"8729922982","0","MOTHER/CHILD & HIV/AIDS HOSPITAL","2003-01-02","start-actual","2005-12-31","end-planned","Italy","ITA","Uganda","UGA","510","General budget support","Completion","2003","2005","274088.414729","206501.183951"
"87299381007","0","POST EBOLA TA LACOR HOSPITAL","2000-01-02","start-actual","2004-12-31","end-planned","Italy","ITA","Uganda","UGA","510","General budget support","Completion","2000","2004","1213794.38218","1286437.61225"
"87299381045","0","MEDICAL REHABILITATION N. UGANDA (LANDMINE VICTIMS)","2003-01-02","start-actual","2005-12-31","end-planned","Italy","ITA","Uganda","UGA","510","General budget support","Completion","2003","2005","2176207.45306","2436667.36526"
"87299381051","0","NSAMBYA HOSPITAL HIV/AIDS SUPPORT","2003-01-02","start-actual","2005-12-31","end-planned","Italy","ITA","Uganda","UGA","510","General budget support","Completion","2003","2005","939605.540919","1052061.84234"
"8729922979","0","COORDINATE PUBLIC PRIVATE PARTNERSHIP - WEST NILE","2002-01-02","start-actual","2005-12-31","end-planned","Italy","ITA","Uganda","UGA","510","General budget support","Completion","2002","2005","660489.312302","844974.404003"
"87299381022","0","SUPPORT PRIVATE INDUSTRY SECTOR","2000-01-02","start-actual","2003-12-31","end-planned","Italy","ITA","Uganda","UGA","510","General budget support","Completion","2000","2003","1149910.46733","2054478.50303"
"87299381035","0","ITALY PAF SUPPORT 2002-2004","2002-10-17","start-actual","2004-12-31","end-planned","Italy","ITA","Uganda","UGA","510","General budget support","Completion","2002","2004","3605679.28752","1437869.23967"
"8729925995","0","HUMANITARIAN ASSISTANCE TO IDPs IN N.UGANDA","1997-01-02","start-actual","1999-12-31","end-planned","Italy","ITA","Uganda","UGA","510","General budget support","Completion","1997","1999","3016548.53812","3016547.21245"
"87299271047","0","HUMANITARIAN ASSISTANCE TO REFUGEES","1995-12-15","start-actual","1999-12-31","end-planned","Italy","ITA","Uganda","UGA","510","General budget support","Completion","1995","1999","6777709.60213","5954295.68813"
