African Development Fund,2.161120059973628
Department for International Development,2.528734530230232
Deutsche Gesellschaft Technische Zusammenarbeit,2.174674390141396
Embassy of Belgium,2.683868398523854
Embassy of Canada,1.9849825219672086
Embassy of Germany,1.6581632653061225
Embassy of Japan,2.1710677615000984
Embassy of Netherlands,2.4277846865512496
Embassy of Sweden,2.324463968370889
European Commission,2.5147288406200303
European Investment Bank,0.7777777777777777
Global Environmental Facility,1.3645833333333333
KfW Bankengruppe,1.3233258470060227
Korea International Cooperation Agency,1.0650887573964498
Ministry of Finance,2.0345831184168546
Poland Ministry of Foreign Affairs,0.6666666666666667
UNDP,2.388834738046367
USAID,2.241062440772497
World Bank,2.507567380656536
